seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"98,293",seg_00115,2,proper_name,0.0,0.0,1.0,1.0
"99,210,86",seg_00116,2,proper_name,0.0,0.0,1.0,1.0
"99,34",seg_00117,2,proper_name,0.0,0.0,1.0,1.0
"1,1",seg_00118,1,proper_name,0.0,0.0,1.0,1.0
"1,397",seg_00119,1,proper_name,0.0,0.0,1.0,1.0
"100,149,301",seg_00120,1,proper_name,0.0,0.0,1.0,1.0
"100,162,28,54",seg_00121,1,proper_name,0.0,0.0,1.0,1.0
"100,26",seg_00122,1,proper_name,0.0,0.0,1.0,1.0
"100,61,293,17",seg_00123,1,proper_name,0.0,0.0,1.0,1.0
"102,97",seg_00124,1,proper_name,0.0,0.0,1.0,0.975609756097561
"109,99,173,216",seg_00125,1,proper_name,0.0,0.0,1.0,1.0
"110,204,247,136",seg_00127,1,proper_name,0.0,0.0,1.0,0.975609756097561
"113,343,302,198",seg_00128,1,proper_name,0.0,0.0,1.0,1.0
"12,124",seg_00129,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,162,249",seg_00130,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,162,249,287",seg_00131,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,162,249,343",seg_00132,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,193,136,99",seg_00133,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,347,59,102",seg_00134,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,72,387",seg_00135,1,proper_name,0.0,0.0,1.0,0.975609756097561
"12,84,25,99",seg_00137,1,proper_name,0.0,0.0,1.0,0.975609756097561
"123,195",seg_00139,1,proper_name,0.0,0.0,1.0,1.0
"123,286",seg_00141,1,proper_name,0.0,0.0,1.0,1.0
"123,305",seg_00142,1,proper_name,0.0,0.0,1.0,1.0
"125,16",seg_00144,1,proper_name,0.0,0.0,1.0,1.0
"126,245,77,293",seg_00145,1,proper_name,0.0,0.0,1.0,0.975609756097561
"126,342",seg_00146,1,proper_name,0.0,0.0,1.0,0.975609756097561
"128,327,17",seg_00150,1,proper_name,0.0,0.0,1.0,1.0
"128,327,72,53,389",seg_00151,1,proper_name,0.0,0.0,1.0,1.0
"137,102,343,155,51",seg_00160,1,proper_name,0.0,0.0,1.0,1.0
"14,162,249,86,343",seg_00162,1,proper_name,0.0,0.0,1.0,0.975609756097561
"14,2,211,89,336",seg_00163,1,proper_name,0.0,0.0,1.0,0.9512195121951219
"14,72",seg_00164,1,proper_name,0.0,0.0,1.0,0.975609756097561
"14,75,98",seg_00165,1,proper_name,0.0,0.0,1.0,0.975609756097561
"140,8,194,112",seg_00166,1,proper_name,0.0,0.0,1.0,1.0
"149,130,51,72",seg_00170,1,proper_name,0.0,0.0,1.0,1.0
"15,389,178,169,407",seg_00173,1,proper_name,0.0,0.0,1.0,0.975609756097561
"155,249",seg_00177,1,proper_name,0.0,0.0,1.0,0.975609756097561
"161,86",seg_00178,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,104,99,400",seg_00179,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,109,99",seg_00180,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,112,343",seg_00181,1,proper_name,0.0,0.0,1.0,0.9512195121951219
"162,112,99",seg_00182,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,204",seg_00185,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,249,123,305",seg_00186,1,proper_name,0.0,0.0,1.0,1.0
"162,249,343,160,59",seg_00188,1,proper_name,0.0,0.0,1.0,1.0
"162,249,343,162,373",seg_00189,1,proper_name,0.0,0.0,1.0,1.0
"162,249,343,328",seg_00190,1,proper_name,0.0,0.0,1.0,1.0
"162,249,59,102",seg_00191,1,proper_name,0.0,0.0,1.0,1.0
"162,249,72,70,343",seg_00195,1,proper_name,0.0,0.0,1.0,1.0
"162,287,234",seg_00198,1,proper_name,0.0,0.0,1.0,1.0
"162,335",seg_00199,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,391",seg_00200,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,406,17",seg_00202,1,proper_name,0.0,0.0,1.0,0.975609756097561
"162,50",seg_00203,1,proper_name,0.0,0.0,1.0,1.0
"168,127,66,72",seg_00205,1,proper_name,0.0,0.0,1.0,0.975609756097561
"168,249",seg_00206,1,proper_name,0.0,0.0,1.0,1.0
"169,104,97,345",seg_00208,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,106,97",seg_00209,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,106,97,345",seg_00210,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,106,99,267",seg_00211,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,124,155,87",seg_00212,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,124,89,336",seg_00213,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,249,28,343",seg_00217,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,249,59,87,389",seg_00223,1,proper_name,0.0,0.0,1.0,1.0
"169,249,87,343,254",seg_00225,1,proper_name,0.0,0.0,1.0,1.0
"169,396,400",seg_00228,1,proper_name,0.0,0.0,1.0,1.0
"169,397,59",seg_00229,1,proper_name,0.0,0.0,1.0,0.975609756097561
"169,407,145,342",seg_00230,1,proper_name,0.0,0.0,1.0,0.975609756097561
"17,319",seg_00232,1,proper_name,0.0,0.0,1.0,0.975609756097561
"171,389,344",seg_00236,1,proper_name,0.0,0.0,1.0,1.0
"171,53,387",seg_00238,1,proper_name,0.0,0.0,1.0,1.0
"171,53,389",seg_00239,1,proper_name,0.0,0.0,1.0,1.0
"173,97,224",seg_00243,1,proper_name,0.0,0.0,1.0,0.975609756097561
"174,28,381,89",seg_00244,1,proper_name,0.0,0.0,1.0,1.0
"175,1,175",seg_00245,1,proper_name,0.0,0.0,1.0,0.975609756097561
"175,28,381",seg_00246,1,proper_name,0.0,0.0,1.0,0.975609756097561
"175,97",seg_00247,1,proper_name,0.0,0.0,1.0,0.975609756097561
"175,98",seg_00248,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,10,245,245,121",seg_00249,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,175,86,215",seg_00250,1,proper_name,0.0,0.0,1.0,1.0
"176,176,384,323,323",seg_00251,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,176,391",seg_00252,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,234,204",seg_00255,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,25,99,398",seg_00256,1,proper_name,0.0,0.0,1.0,1.0
"176,252,189,28,87",seg_00257,1,proper_name,0.0,0.0,1.0,0.975609756097561
"176,319,287,241",seg_00258,1,proper_name,0.0,0.0,1.0,1.0
"176,51",seg_00260,1,proper_name,0.0,0.0,1.0,0.975609756097561
"180,175,249,87",seg_00265,1,proper_name,0.0,0.0,1.0,0.975609756097561
"180,175,357,87",seg_00267,1,proper_name,0.0,0.0,1.0,0.975609756097561
"180,54,293,17",seg_00272,1,proper_name,0.0,0.0,1.0,1.0
182,seg_00273,1,proper_name,0.0,0.0,1.0,1.0
"186,304,98",seg_00275,1,proper_name,0.0,0.0,1.0,0.975609756097561
"187,403",seg_00276,1,proper_name,0.0,0.0,1.0,1.0
"190,102,343",seg_00277,1,proper_name,0.0,0.0,1.0,0.975609756097561
"193,136,293,17",seg_00280,1,proper_name,0.0,0.0,1.0,1.0
"193,258,48,97,391",seg_00283,1,proper_name,0.0,0.0,1.0,1.0
"194,112,287",seg_00287,1,proper_name,0.0,0.0,1.0,1.0
"194,112,99,256,245,330",seg_00290,1,proper_name,0.0,0.0,1.0,1.0
"194,112,99,267",seg_00291,1,proper_name,0.0,0.0,1.0,1.0
"194,59,87",seg_00295,1,proper_name,0.0,0.0,1.0,0.975609756097561
"197,112,124,123,94",seg_00298,1,proper_name,0.0,0.0,1.0,1.0
"205,211,70,402,267",seg_00305,1,proper_name,0.0,0.0,1.0,1.0
"206,175",seg_00306,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,155,204",seg_00307,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,155,301,344,245",seg_00308,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,155,65",seg_00309,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,176,175",seg_00310,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,176,175,86",seg_00311,1,proper_name,0.0,0.0,1.0,0.975609756097561
